business, text, categories, group, english, customer, legal, online, select, review
question, answer, questions, answers, multiple, written, single, found, clear, date
sentence, original, number, population, universities, university, choose, york, harvard, sentences
amazon, information, world, hits, report, guide, work, time, service, javascript
search, website, link, url, results, provided, click, names, workers, city
responses, change, day, time, positive, begin, creative, check, work, mind
answers, questions, task, question, answer, sentence, work, identify, paid, add
text, words, answer, word, meaning, english, accurate, choose, correct, people
receipt, leave, number, blank, id, total, items, valid, choose, date
profile, text, copy, appears, company, link, click, work, years, job
product, brand, description, title, information, products, design, images, match, long
good, quality, don, natural, rate, people, bad, make, great, examples
item, page, type, price, select, find, quantity, items, amount, image
https, select, page, person, find, amazon, search, post, full, www
answer, casing, edit, brand, spelling, original, hair, scent, note, proper
preview, accept, information, review, rate, requester, years, average, payment, work
article, copy, profile, person, click, paste, link, title, body, provide
survey, code, link, complete, end, box, paste, receive, provide, open
answer, acceptable, bad, good, content, question, answers, people, marked, response
image, option, read, submit, button, task, work, images, javascript, payment
blank, unclear, rotate, zoom, special, work, text, ctrl, picture, copy
company, phone, number, website, address, find, email, correct, country, link
receipt, data, item, reject, match, left, readable, fields, select, side
